# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	18219
#@/user_id	36911b7b-e7c1-441a-b6ce-954133c0c2c7
a 	啊	c=52 d=1.0149 t=17937
xiang xiang 	想想	c=4 d=1.08857 t=17379
xiang xiang 	想象	c=2 d=1 t=17380
xiang xiang dao 	想象到	c=1 d=1 t=8351
xiang xin zi ji 	相信自己	c=1 d=1 t=10275
xiang xue 	想學	c=0 d=0.1 t=2942
xiang xue xi 	想學習	c=1 d=1 t=2943
xiang xue xue 	想學學	c=1 d=1 t=15768
xiang yi xia 	想一下	c=0 d=0.1 t=16897
xiang ying 	響應	c=3 d=1.62965 t=16401
xiang ying shi 	響應式	c=1 d=1 t=1926
xiang ying ti 	響應體	c=2 d=1.72253 t=16406
xiang ying tou 	響應頭	c=1 d=1 t=16402
xiang zai 	想在	c=1 d=0.100001 t=15212
xiang zai duo 	想在多	c=1 d=1 t=15213
xiang zuo 	相左	c=1 d=1 t=11407
xiang zuo zhuan 	向左轉	c=1 d=1 t=4113
xiao 	小	c=9 d=0.100025 t=17161
xiao 	校	c=1 d=1 t=4659
xiao 	笑	c=1 d=1 t=12530
xiao ba wang 	小霸王	c=1 d=1 t=3117
xiao bai huo 	小百貨	c=1 d=1 t=9530
xiao bing 	小兵	c=1 d=1 t=9605
xiao chen 	小陳	c=1 d=1 t=14931
xiao chi 	小喫	c=1 d=1 t=9546
xiao chou 	小丑	c=1 d=0.1 t=12518
xiao chou jing shi 	小丑竟是	c=1 d=1 t=12519
xiao chu 	消除	c=1 d=1 t=9903
xiao dao 	小導	c=3 d=1 t=16071
xiao de 	曉得	c=2 d=1.00125 t=15156
xiao di 	小弟	c=1 d=1 t=10181
xiao fei 	消費	c=3 d=1.00084 t=10804
xiao gu niang 	小姑娘	c=1 d=1 t=12654
xiao guo 	效果	c=2 d=0.1 t=17781
xiao guo ru xia 	效果如下	c=1 d=1 t=17782
xiao hai 	小孩	c=1 d=1 t=1753
xiao hai er 	小孩兒	c=1 d=1 t=1771
xiao hai zi 	小孩子	c=4 d=1 t=12198
xiao hei 	小黑	c=0 d=0.1 t=6508
xiao hei wu 	小黑屋	c=1 d=1 t=6509
xiao hong hua 	小紅花	c=1 d=1 t=2419
xiao hui 	銷毀	c=1 d=0.1 t=6374
xiao hui lian biao 	銷毀鏈表	c=1 d=1 t=6375
xiao jie 	小結	c=1 d=1 t=4690
xiao jie jie 	小姊姊	c=3 d=1 t=13710
xiao jie jie 	小姐姐	c=1 d=1.09753 t=16743
xiao la ji 	小垃圾	c=1 d=1 t=7888
xiao lan qiu 	小籃球	c=1 d=1 t=7846
xiao le 	笑了	c=1 d=1 t=12356
xiao li 	校歷	c=1 d=1 t=18177
xiao lv 	效率	c=4 d=0.101883 t=17533
xiao lv hen gao 	效率很高	c=1 d=1 t=17534
xiao mei mei 	小妹妹	c=1 d=1 t=12061
xiao mi 	小米	c=7 d=3.29598 t=18020
xiao mi de 	小米的	c=1 d=1 t=17914
xiao mi shou ji 	小米手機	c=1 d=1 t=10373
xiao mo 	消磨	c=1 d=1 t=6577
xiao nan hai 	小男孩	c=10 d=6.29157 t=12353
xiao nv hai 	小女孩	c=2 d=1.99005 t=6704
xiao shi 	小時	c=2 d=1 t=7256
xiao shi qing 	小事情	c=1 d=1 t=12194
xiao shu 	小數	c=2 d=1.97045 t=7193
xiao shui 	小水	c=0 d=0.1 t=7929
xiao shui guan 	小水管	c=1 d=1 t=7930
xiao shuo 	小說	c=2 d=1 t=11899
xiao si 	笑死	c=6 d=1.00001 t=16958
xiao tu zai zi 	小兔崽子	c=1 d=1 t=14128
xiao xi 	消息	c=3 d=1.79852 t=16441
xiao xi le 	消息了	c=1 d=1 t=988
xiao xian nv 	小仙女	c=1 d=1 t=1728
xiao xiang 	小項	c=1 d=1 t=4279
xiao xiang mu 	小項目	c=1 d=1 t=2184
xiao xing 	小型	c=1 d=1 t=5363
xiao xue sheng 	小學生	c=1 d=1 t=3929
xiao yu 	小於	c=1 d=1 t=5611
xiao yuan 	校園	c=0 d=0.1 t=7538
xiao zu 	小組	c=1 d=1 t=5274
xie 	些	c=1 d=1 t=11310
xie 	寫	c=9 d=0.193617 t=15334
xie 	鞋	c=2 d=1.05857 t=13163
xie dai ma 	寫代碼	c=6 d=1 t=14870
xie dai ma qu le 	寫代碼去了	c=1 d=1 t=1812
xie de 	寫的	c=3 d=1.00004 t=13186
xie dong xi 	寫東西	c=1 d=1 t=17505
xie ri ji 	寫日記	c=0 d=0.193707 t=991
xie ri ji de 	寫日記的	c=1 d=1 t=992
xie sha 	謝啥	c=1 d=1 t=3104
xie shen me 	些什麼	c=0 d=0.1 t=1948
xie wan 	寫完	c=0 d=0.1 t=8558
xie xie 	寫些	c=0 d=0.1 t=817
xie xie 	歇歇	c=1 d=1 t=2816
xie xie 	謝謝	c=8 d=1.0087 t=16083
xie xie ei 	謝謝誒	c=1 d=1 t=1638
xie xie shen me 	寫些什麼	c=1 d=1 t=818
xie yi 	協議	c=12 d=1.01014 t=6958
xie yi shi 	協議是	c=1 d=1 t=5627
xie zai 	寫在	c=2 d=1 t=10634
xie zi 	鞋子	c=4 d=2.82484 t=13231
xie zi me 	鞋子麼	c=1 d=1 t=13232
xie zuo 	寫作	c=1 d=1 t=11895
xie zuo ye 	寫作業	c=0 d=0.1 t=8325
xin 	信	c=0 d=0.1 t=16504
xin 	心	c=2 d=1.00047 t=15365
xin 	新	c=4 d=0.100278 t=15568
xin 	鑫	c=1 d=1 t=6710
xin ban 	新版	c=0 d=0.1 t=2798
xin ban de 	新版的	c=1 d=1 t=2799
xin bao dao 	新宝岛	c=1 d=1 t=5176
xin chu 	新出	c=0 d=0.1 t=641
xin chu de 	新出的	c=1 d=1 t=642
xin chuang kou 	新窗口	c=1 d=1 t=1157
xin de 	新的	c=2 d=1.56836 t=13443
xin guan 	新冠	c=3 d=1.92774 t=16552
xin guan xia 	新冠俠	c=1 d=1 t=1477
xin hao 	信號	c=1 d=0.100316 t=3908
xin hua 	新華	c=0 d=0.1 t=2287
xin huan 	新歡	c=1 d=1 t=12876
xin ji shu 	新技術	c=3 d=1 t=13352
xin jian 	新建	c=1 d=1 t=8320
xin ku 	辛苦	c=0 d=0.143172 t=3088
xin ku le 	辛苦了	c=1 d=1.02503 t=2964
xin ku xin ku 	辛苦辛苦	c=1 d=1 t=3089
xin ku yi tian le 	辛苦一天了	c=1 d=1 t=2818
xin li de 	心理的	c=1 d=1 t=15128
xin ni 	信你	c=1 d=1 t=14566
xin qing 	心情	c=3 d=1.00026 t=14143
xin qing bu hao 	心情不好	c=1 d=1 t=14310
xin qing bu hao le 	心情不好了	c=1 d=1 t=2670
xin qing dao xian zai 	心情到現在	c=1 d=1 t=12949
xin qing hao 	心情好	c=0 d=0.1 t=14138
xin qing hao de 	心情好的	c=1 d=1 t=14139
xin qing hao duo 	心情好多	c=1 d=1 t=3330
xin shi ji 	新世紀	c=1 d=1 t=11283
xin teng 	心疼	c=1 d=0.1 t=11876
xin teng ni 	心疼你	c=1 d=1 t=11877
xin teng zi ji 	心疼自己	c=1 d=1 t=8293
xin wen 	新聞	c=1 d=1 t=15290
xin xi 	信息	c=23 d=1.08816 t=17676
xin xi ke shi 	信息可是	c=1 d=1 t=15279
xin xi wang luo 	信息網絡	c=1 d=1 t=9581
xin xin ku ku 	辛辛苦苦	c=1 d=0.236014 t=7850
xin ying yong 	新應用	c=1 d=1 t=13353
xin yong ka 	信用卡	c=1 d=1 t=9562
xin zai 	心在	c=1 d=1 t=10946
xin zhong 	心中	c=2 d=1.9802 t=14805
xin zuo pin 	新作品	c=1 d=1 t=15569
xing 	型	c=9 d=1.01125 t=13782
xing 	性	c=5 d=1 t=17691
xing 	興	c=1 d=1 t=15543
xing 	行	c=7 d=1.01256 t=15664
xing ba 	行吧	c=4 d=1 t=18199
xing can 	形参	c=1 d=1 t=5995
xing cheng 	形成	c=1 d=1 t=16310
xing cheng wu xian xun huan 	形成無線循環	c=1 d=1 t=4515
xing de 	行得	c=1 d=1 t=13065
xing de tong 	行得通	c=2 d=1.00001 t=6223
xing fu 	幸福	c=2 d=1.26714 t=9608
xing guo chun 	刑國春	c=1 d=1 t=3375
xing jia bi 	性價比	c=1 d=1 t=17961
xing le 	醒了	c=0 d=0.1 t=10536
xing li xiang 	行李箱	c=1 d=1.09512 t=2473
xing ming 	姓名	c=1 d=1 t=5223
xing neng 	性能	c=1 d=1 t=4673
xing qiu 	星球	c=1 d=1 t=16684
xing shi 	形式	c=4 d=1 t=13791
xing shi su song 	刑事訴訟	c=0 d=0.1 t=1024
xing shi su song sheng sheng shi shi sheng sheng shi shi sheng sheng shi shi sheng sheng shi shi sheng sheng shi shi sheng sheng shi shi sheng sheng shi shi sheng sheng shi shi shi 	刑事訴訟生生世世生生世世生生世世生生世世生生世世生生世世生生世世生生世世是	c=1 d=1 t=1025
xing xing 	行星	c=0 d=0.1 t=10383
xing xing bian ji 	行星邊際	c=1 d=1 t=10384
xing zai le huo 	幸災樂禍	c=1 d=1 t=8353
xing zhi 	性質	c=1 d=1.07558 t=4227
xing zhi xiang tong 	性質相同	c=1 d=1 t=4172
xing zhuang 	形狀	c=2 d=1.92212 t=552
xiong di 	兄弟	c=2 d=1 t=12147
xiong di men 	兄弟們	c=1 d=1 t=311
xiu bu 	修補	c=1 d=1 t=8264
xiu che 	修車	c=1 d=1 t=6342
xiu fu 	修復	c=9 d=0.1 t=13571
xiu gai 	修改	c=13 d=1 t=16415
xiu gai shi jian 	修改時間	c=2 d=1 t=13488
xiu gai zhi hou 	修改之後	c=1 d=1 t=10651
xiu gai zhi qian 	修改之前	c=1 d=1 t=10650
xiu nan gan 	羞赧感	c=0 d=0.1 t=5781
xiu xi 	休息	c=0 d=0.1 t=15225
xiu xi xiu xi 	休息休息	c=1 d=1 t=2311
xiu xi yi xia 	休息一下	c=0 d=0.1 t=2745
xu 	旭	c=1 d=1 t=16504
xu cen 	許岑	c=1 d=1 t=11611
xu dao 	絮叨	c=1 d=1 t=1385
xu ke 	許可	c=1 d=1 t=363
xu lie 	序列	c=3 d=1.99832 t=8379
xu lun 	緒論	c=8 d=1.91406 t=7725
xu ni 	虛擬	c=4 d=0.100004 t=9603
xu ni de 	虛擬的	c=1 d=1 t=15594
xu ni huo bi 	虛擬貨幣	c=2 d=1.00947 t=5077
xu ni ji 	虛擬機	c=3 d=2.53884 t=18130
xu ni nv you 	虛擬女友	c=1 d=1 t=9604
xu ou 	序偶	c=1 d=1.00006 t=7795
xu ou guan xi 	序偶關係	c=1 d=1 t=6320
xu qiu 	需求	c=1 d=1 t=8149
xu qiu fen xi 	需求分析	c=1 d=1 t=11959
xu xu jiu 	敘敘舊	c=1 d=1 t=2865
xu yao 	需要	c=23 d=1.83908 t=17599
xu yao de 	需要的	c=1 d=1 t=18127
xu yao fa chu 	需要發出	c=1 d=1 t=5542
xuan 	選	c=2 d=1 t=7049
xuan de 	選的	c=0 d=0.1 t=16224
xuan ku 	炫酷	c=1 d=1 t=6698
xuan qu 	選區	c=3 d=2.56999 t=557
xuan qu 	選取	c=1 d=1 t=471
xuan qu yi yang 	選區一樣	c=1 d=1 t=558
xuan ran 	渲染	c=10 d=2.46126 t=17994
xuan ran fang shi 	渲染方式	c=1 d=1 t=1689
xuan xiang 	選項	c=2 d=1 t=16387
xuan ze 	選擇	c=9 d=1 t=17976
xuan zhong 	選中	c=1 d=0.98692 t=503
xuan zhong zhe ge 	選中這個	c=1 d=1 t=504
xuan zhuan 	旋轉	c=2 d=1 t=6701
xue 	學	c=4 d=1.16615 t=15205
xue ba 	學霸	c=1 d=1 t=10136
xue bing 	雪冰	c=0 d=0.1 t=3311
xue dao 	學到	c=0 d=0.100004 t=2488
xue de 	學得	c=2 d=1.00003 t=15775
xue dian 	學點	c=0 d=0.1 t=679
xue fei 	學費	c=1 d=1 t=11860
xue gao 	雪糕	c=1 d=1 t=9578
xue guo 	學過	c=0 d=0.1 t=1715
xue hao 	學號	c=1 d=1 t=5222
xue hui 	學會	c=0 d=0.1 t=17027
xue ji 	學籍	c=1 d=1.03239 t=14285
xue ji sha 	學籍啥	c=1 d=1 t=14286
xue jiu 	學就	c=1 d=1 t=7466
xue kui 	血虧	c=1 d=1 t=14120
xue qi 	學期	c=0 d=0.1 t=1546
xue sha 	學啥	c=1 d=1 t=16767
xue sheng 	學生	c=0 d=0.1 t=962
xue sheng dang 	學生黨	c=1 d=1 t=963
xue wei 	學委	c=1 d=1 t=13276
xue xi 	學習	c=20 d=1.03526 t=17557
xue xi le 	學習了	c=2 d=1.43171 t=14683
xue xi tong 	學習通	c=5 d=1.56306 t=8229
xue xi xue xi 	學習學習	c=1 d=1 t=11247
xue xi zi liao 	學習資料	c=1 d=1 t=7487
xue xiao 	學校	c=8 d=1.00108 t=16788
xue xiao de 	學校的	c=1 d=1 t=12177
xue xiao li 	學校裏	c=1 d=1 t=2960
xue xiao me 	學校麼	c=1 d=1 t=15627
xue xiao shuo de 	學校說的	c=1 d=1 t=950
xue xin wang 	學信網	c=1 d=1 t=10710
xue xue 	學學	c=1 d=0.1 t=15767
xue yi bian 	學一遍	c=1 d=1 t=6606
xue ying yu 	學英語	c=1 d=0.1 t=16886
xue yuan 	學院	c=3 d=1 t=9390
xue zhang 	學長	c=0 d=0.1 t=11010
xun huan 	循環	c=7 d=1.00294 t=16256
xun huan bo fang 	循環播放	c=1 d=1 t=15065
xun hun 	尋混	c=1 d=1 t=3554
xun lei 	迅雷	c=2 d=1 t=15997
xun si 	尋思	c=0 d=0.100003 t=13817
xun zhao 	尋找	c=1 d=1 t=14884
ya 	呀	c=10 d=1.17615 t=15843
ya 	鴨	c=1 d=1 t=9326
ya jin 	押金	c=1 d=1 t=10974
ya rou 	鴨肉	c=0 d=0.1 t=463
ya rou ni 	鴨肉你	c=1 d=1 t=464
ya ya 	呀呀	c=0 d=0.1 t=7839
ya yi 	壓抑	c=1 d=1 t=11359
yan 	嚴	c=0 d=0.1 t=10995
yan 	煙	c=3 d=1 t=13020
yan 	研	c=1 d=1 t=6389
yan cao 	菸草	c=1 d=1 t=9565
yan chang hui 	演唱會	c=1 d=1 t=9518
yan ge 	嚴格	c=1 d=1 t=4624
yan jin 	嚴謹	c=1 d=1 t=4611
yan jiu 	研究	c=7 d=1.87813 t=13715
yan jiu sheng 	研究生	c=4 d=1.16004 t=5157
yan se 	顏色	c=8 d=1.01739 t=13070
yan shi 	演示	c=1 d=1 t=17270
yan yang 	岩羊	c=1 d=1 t=10380
yan zhe 	沿着	c=2 d=1.79057 t=16436
yan zheng 	驗證	c=3 d=0.550603 t=17542
yan zheng cai xiang 	驗證猜想	c=1 d=1 t=17543
yan zheng ma 	驗證碼	c=1 d=1 t=7622
yan zhi 	焉知	c=0 d=0.1 t=693
yan zhi 	顏值	c=1 d=1 t=17915
yan zhi fang 	焉知防	c=1 d=1 t=694
yan zhong 	嚴重	c=1 d=1 t=6554
yang 	楊	c=2 d=1.0488 t=17107
yang 	樣	c=3 d=1 t=17108
yang 	癢	c=1 d=1 t=11714
yang guang 	陽光	c=1 d=1 t=11367
yang le 	樣了	c=2 d=1.00347 t=10427
yang li 	陽曆	c=0 d=0.1 t=15316
yang sheng 	養生	c=1 d=0.1 t=15486
yang sheng ju 	養生局	c=1 d=1 t=15487
yang shi 	樣式	c=3 d=1 t=7969
yang ying 	杨影	c=1 d=1 t=3388
yang zi 	樣子	c=3 d=1 t=13985
yao 	要	c=13 d=1.00001 t=18165
yao ba 	要把	c=1 d=1 t=10631
yao bei 	要被	c=0 d=0.1 t=1465
yao bi 	要比	c=1 d=1 t=5289
yao bu 	要不	c=2 d=0.100968 t=14522
yao bu chi dian dong xi 	要不喫點東西	c=1 d=1 t=2752
yao bu ni shui hui er 	要不你睡會兒	c=1 d=1 t=2689
yao bu shi shi 	要不試試	c=1 d=1 t=1516
yao bu xian zai 	要不現在	c=1 d=1 t=14523
yao bu yao 	要不要	c=1 d=1 t=12512
yao bu ye bu hui 	要不也不會	c=1 d=1 t=12507
yao dai 	腰帶	c=1 d=1 t=9412
yao dao che 	要倒車	c=1 d=1 t=335
yao de 	要得	c=1 d=1 t=16487
yao dian 	藥店	c=2 d=1.99501 t=9473
yao dian 	要點	c=2 d=1 t=9741
yao fa song 	要發送	c=1 d=1 t=10608
yao gui ding 	要規定	c=1 d=1 t=3153
yao guo 	要過	c=0 d=0.1 t=16231
yao guo qian 	要過錢	c=1 d=1 t=16232
yao jian qian 	要撿錢	c=1 d=1 t=14389
yao kan 	要看	c=0 d=0.1 t=15821
yao me 	要麼	c=2 d=1.98511 t=14074
yao qiu 	要求	c=3 d=0.1 t=10995
yao qiu ting yan 	要求挺嚴	c=1 d=1 t=10996
yao qu 	要去	c=1 d=1 t=12797
yao shi 	要是	c=9 d=1.00026 t=16140
yao shi de 	要是的	c=1 d=1 t=13853
yao shi xian 	要實現	c=1 d=1 t=5663
yao su 	要素	c=2 d=1.90937 t=5528
yao wo 	要我	c=1 d=1 t=10110
yao xian 	要先	c=0 d=0.1 t=11204
yao xiang 	要想	c=0 d=0.1 t=2870
yao xiang wo ya 	要想我呀	c=1 d=1 t=2871
yao xie 	要寫	c=1 d=1 t=11688
yao xing 	搖醒	c=1 d=1 t=2242
yao xu yao 	要需要	c=1 d=1 t=16211
yao xue xi 	藥學系	c=1 d=1 t=6382
yao yong 	要用	c=0 d=0.1 t=15635
yao you 	要有	c=0 d=0.1 t=17096
yao you mu biao 	要有目標	c=1 d=1 t=17097
yao zai 	要在	c=1 d=1 t=16119
yao zen me 	要怎麼	c=1 d=1 t=2010
yao zuo 	要坐	c=1 d=1 t=7632
ye 	也	c=11 d=1.02114 t=18062
ye 	野	c=0 d=0.1 t=7947
ye 	頁	c=1 d=1 t=3842
ye ban 	夜班	c=0 d=0.1 t=6653
ye bu 	也不	c=1 d=0.273317 t=17047
ye bu bao tai da qi wang 	也不抱太大期望	c=1 d=1 t=15673
ye bu dong 	也不懂	c=1 d=1 t=15093
ye bu fa biao 	也不發表	c=1 d=1 t=17047
ye bu gan 	也不敢	c=0 d=0.1 t=3228
ye bu gan zhe ge le 	也不敢這個了	c=1 d=1 t=3229
ye bu hua suan 	也不划算	c=1 d=1 t=10224
ye bu hui 	也不會	c=0 d=0.1 t=6597
ye bu jiao 	也不叫	c=1 d=0.1 t=15874
ye bu lai 	也不賴	c=1 d=1 t=16987
ye bu ping jia 	也不評價	c=1 d=1 t=17048
ye bu rong yi 	也不容易	c=1 d=1 t=1327
ye bu shao 	也不少	c=1 d=1 t=14366
ye bu shi 	也不是	c=8 d=2.26282 t=13203
ye bu suan 	也不算	c=1 d=1 t=16955
ye bu suan shi 	也不算是	c=1 d=1 t=2017
ye bu tai hao 	也不太好	c=1 d=1 t=17590
ye bu yao 	也不要	c=0 d=0.1 t=5146
ye bu yao jie shi 	也不要解釋	c=1 d=1 t=5147
ye bu yong 	也不用	c=0 d=0.1 t=3784
ye bu yong ba 	也不用吧	c=1 d=1 t=3785
ye bu zhi dao 	也不知道	c=4 d=1 t=6734
ye da 	也大	c=0 d=0.1 t=3902
ye da bu kai 	也大不開	c=1 d=1 t=3903
ye dei kao 	也得考	c=1 d=1.03239 t=15214
ye fen zhuan ye 	也分專業	c=1 d=1 t=1545
ye geng 	也更	c=0 d=0.1 t=5950
ye geng jia 	也更加	c=1 d=1 t=5951
ye hao 	也好	c=1 d=1 t=6442
ye hui 	也會	c=4 d=0.100124 t=17013
ye hui you ren 	也會有人	c=1 d=1 t=17014
ye jing 	夜景	c=1 d=1 t=890
ye jiu 	也就	c=0 d=0.1 t=15671
ye jiu neng 	也就能	c=0 d=0.1 t=7686
ye jiu shi 	也就是	c=2 d=1 t=15021
ye jiu shi shi 	也就試試	c=1 d=1 t=15672
ye kao wan le 	也考完了	c=1 d=1 t=16993
ye ke 	也可	c=2 d=1 t=15945
ye ke ai 	也可愛	c=1 d=1.09501 t=1432
ye ke neng 	也可能	c=2 d=1 t=17335
ye ke neng mei xin hao 	也可能沒信號	c=1 d=1 t=868
ye ke yi 	也可以	c=5 d=1.00737 t=9013
ye ke yi shi xian 	也可以實現	c=1 d=1 t=2550
ye man nv you 	野蛮女友	c=1 d=1 t=16192
ye mei 	也沒	c=3 d=1.74209 t=10081
ye mei 	頁眉	c=1 d=1 t=12189
ye mei ke 	也沒課	c=1 d=1 t=9209
ye mei sha 	也沒啥	c=2 d=1 t=12832
ye mei sha wen ti 	也沒啥問題	c=1 d=1 t=3807
ye mei shuo 	也沒說	c=0 d=0.1 t=12745
ye mei you 	也沒有	c=2 d=1 t=7486
ye mei zhun 	也沒準	c=1 d=1 t=6390
ye mian 	頁面	c=16 d=1.66076 t=18061
ye shen ren jing 	夜深人靜	c=0 d=0.1 t=9960
ye shen ren jing le 	夜深人靜了	c=1 d=1 t=9961
ye shi 	也是	c=13 d=0.100001 t=14348
ye shi o 	也是哦	c=1 d=1 t=2901
ye suan shi 	也算是	c=1 d=1 t=2574
ye tai 	也太	c=2 d=1.00051 t=12588
ye tian jia 	也添加	c=1 d=1 t=8179
ye ting 	也挺	c=0 d=0.1 t=17148
ye ting hao 	也挺好	c=1 d=1 t=17149
ye ting lei 	也挺累	c=1 d=1 t=2309
ye ting zhi 	也停止	c=1 d=1 t=10935
ye wang le 	也忘了	c=1 d=1 t=1538
ye wen guo 	也問過	c=1 d=1 t=9087
ye xiao 	也小	c=1 d=1 t=5253
ye xing 	也行	c=1 d=1 t=13166
ye xu yao 	也需要	c=1 d=1 t=2185
ye yao 	也要	c=1 d=1 t=14997
ye zai 	也在	c=1 d=1 t=8177
ye zhi 	也只	c=1 d=1 t=1901
ye zhi you 	也只有	c=1 d=1 t=13976
ye zhun bei 	也準備	c=1 d=1 t=16991
ye zi 	葉子	c=0 d=0.1 t=8123
yi 	①	c=1 d=1 t=5240
yi 	一	c=7 d=0.402828 t=15042
yi 	亦	c=0 d=0.1 t=18104
yi 	以	c=4 d=1.0016 t=6836
yi 	億	c=1 d=1 t=5076
yi 	已	c=0 d=0.115412 t=4917
yi 	易	c=0 d=0.199501 t=5865
yi ba zhang 	一巴掌	c=0 d=0.1 t=14319
yi ban 	一半	c=1 d=1 t=2716
yi ban 	一班	c=9 d=1.00025 t=17934
yi ban 	一般	c=5 d=1.00255 t=17935
yi ban da xue 	一班大學	c=1 d=1 t=10133
yi ban lian jie 	一般連接	c=1 d=1 t=13251
yi ban yu dao 	一班遇到	c=1 d=1 t=16740
yi bao zheng 	以保證	c=1 d=1 t=5812
yi bei 	一杯	c=1 d=1 t=10228
yi bi 	一筆	c=2 d=1 t=18176
yi bi a 	一筆啊	c=1 d=1 t=9253
yi bian 	一遍	c=2 d=0.1 t=16500
yi bian 	以便	c=1 d=1 t=3124
yi bu xiao xin 	一不小心	c=1 d=1 t=7986
yi ceng 	一層	c=0 d=0.1 t=5660
yi chang 	異常	c=2 d=1 t=16583
yi cheng xu 	以程序	c=1 d=1 t=5852
yi ci 	一次	c=3 d=1.13534 t=17517
yi ci xing 	一次性	c=1 d=1 t=8965
yi dian 	一點	c=3 d=1 t=18026
yi dian bu hui 	一點不會	c=1 d=1 t=13269
yi dian ye bu 	一點也不	c=0 d=0.1 t=6568
yi dian ye bu zi ze 	一點也不自責	c=1 d=1 t=6569
yi dian yi dian 	一點一點	c=1 d=1 t=6575
yi dian yi si 	一點意思	c=1 d=1 t=13842
yi ding 	一定	c=1 d=1.07045 t=4479
yi ding yi 	已定義	c=1 d=1 t=4918
yi dong 	以冬	c=1 d=1 t=14809
yi duan 	一段	c=0 d=0.1 t=7634
yi duan shi jian 	一段時間	c=0 d=0.1 t=810
yi dui duo 	一對多	c=1 d=1 t=4355
yi dui yi 	一對一	c=1 d=1 t=4371
yi dun 	一頓	c=2 d=1 t=9778
yi dun fan 	一頓飯	c=5 d=1 t=11290
yi duo 	一朵	c=1 d=1 t=2299
yi er 	一二	c=0 d=0.1 t=12083
yi fa 	一發	c=0 d=0.1 t=15813
yi fen 	一份	c=2 d=1 t=16020
yi fu 	衣服	c=1 d=1 t=9263
yi fu zhi ming 	以父之名	c=1 d=1 t=6928
yi ge 	一個	c=67 d=2.25956 t=18129
yi ge le 	一個了	c=1 d=1 t=6438
yi ge lu you 	一個路由	c=1 d=1 t=1080
yi ge ren 	一個人	c=4 d=0.102123 t=15307
yi ge ru kou 	一個入口	c=1 d=1 t=5966
yi ge yue 	一個月	c=1 d=1 t=9781
yi gong you 	一共有	c=1 d=1 t=10699
yi han 	遺憾	c=1 d=1 t=12844
yi hang 	一行	c=1 d=1 t=3974
yi hou 	以後	c=5 d=1.01992 t=16814
yi hou hai shi 	以後還是	c=1 d=1 t=16492
yi hou ye shi 	以後也是	c=1 d=1 t=14349
yi hui 	一會	c=1 d=0.100001 t=5752
yi hui er 	一會兒	c=12 d=1.96278 t=15832
yi hui liao 	一會聊	c=1 d=1 t=2910
yi hui wo fang gei ni 	一會我方給你	c=1 d=1 t=5753
yi ji 	以及	c=11 d=1.00006 t=13734
yi jian 	一鍵	c=2 d=1 t=8302
yi jiao 	一教	c=2 d=1.99501 t=17563
yi jiao 	一腳	c=0 d=0.1 t=2695
yi jiao ba ta chuai fei 	一腳把他踹飛	c=1 d=1 t=2696
yi jie 	一姐	c=1 d=1 t=9178
yi jie 	一節	c=3 d=1 t=14409
yi jie jue 	已解決	c=1 d=1 t=1296
yi jie yi jie 	一節一節	c=1 d=1 t=8121
yi jing 	已經	c=4 d=1.00008 t=18047
yi jing he 	已經和	c=1 d=1 t=16126
yi jing kai shi 	已經開始	c=1 d=1 t=7583
yi jing neng 	已經能	c=1 d=1 t=8350
yi jing shi xian 	已經實現	c=1 d=1 t=282
yi jiu 	依舊	c=4 d=3.3967 t=12309
yi ju 	一句	c=1 d=1 t=12271
yi kan 	一看	c=0 d=0.1 t=15760
yi kan jiu shi 	一看就是	c=1 d=1 t=15761
yi kuai 	一塊	c=0 d=0.1 t=10119
yi lai 	依賴	c=5 d=0.1 t=6965
yi le 	一樂	c=0 d=0.1 t=663
yi li jie 	易理解	c=1 d=1 t=5864
yi liang tian 	一兩天	c=1 d=1 t=12620
yi liao 	醫療	c=2 d=1.63128 t=9360
yi liu 	一流	c=0 d=0.1 t=15685
yi lu ren 	一路人	c=2 d=1.00137 t=12698
yi miao 	一秒	c=0 d=0.1 t=1171
yi miao 	疫苗	c=3 d=0.105917 t=17560
yi ming 	一名	c=1 d=1 t=15935
yi mo yi yang 	一模一樣	c=1 d=1 t=7967
yi nei 	以內	c=1 d=1 t=13608
yi nian 	一年	c=0 d=0.1 t=2843
yi nv 	乙女	c=2 d=1.99501 t=9188
yi nv zi 	一女子	c=1 d=1 t=6341
yi pi 	一批	c=0 d=0.1 t=4478
yi pi shu ju 	一批數據	c=1 d=1 t=4479
yi pian 	一片	c=1 d=1 t=14807
yi qi 	一起	c=3 d=1.59452 t=16921
yi qi ba 	一起吧	c=1 d=1 t=3297
yi qi chi 	一起喫	c=1 d=1 t=11847
yi qi kan 	一起看	c=1 d=1 t=6201
yi qian 	以前	c=1 d=1 t=15488
yi qing 	疫情	c=2 d=1.97045 t=16098
yi quan 	一拳	c=1 d=1 t=10346
yi ren zhi xia 	一人之下	c=3 d=2.94575 t=11892
yi shang 	以上	c=1 d=1 t=8581
yi sheng 	一聲	c=1 d=1 t=5744
yi sheng 	醫生	c=0 d=0.1 t=5742
yi shi 	意識	c=0 d=0.1 t=11431
yi shi jie 	异世界	c=1 d=1 t=3066
yi shi mei 	亦是美	c=1 d=1 t=18105
yi shi xian 	已實現	c=1 d=1 t=4544
yi shi zhu xing 	衣食住行	c=2 d=1.91851 t=9261
yi shou 	一首	c=3 d=2.88839 t=756
